Industry,Complaint Type,Mediation Start Date,Mediation Close Date,Complaint Result,Satisfaction,Business City,Business State
Appliances - 244,Exchange Goods/Contract Cancelled - E01,12/08/2017,12/19/2017,Advised to Sue - ATS,No,BRONX,NY
Secondhand Dealer Auto - 005,Outstanding Judgment - J01,04/06/2018,05/25/2018,Referred to Hearing - RTH,No,BROOKLYN,NY
Home Improvement Contractor - 100,Quality of Work - Q01,06/28/2017,07/13/2017,Goods Repaired - GRS,Yes,ELMHURST,NY
Supermarket - 819,Advertising/General - A01,01/16/2018,01/29/2018,Cash Amount - AMT,Yes,WESTBOROUGH,MA
Garage & Parking Lot - 098,Outstanding Judgment - J01,02/02/2018,02/08/2018,Agency Collected Judgement - ACJ,Yes,NEW YORK,NY
Misc Non-Food Retail - 817,Non-Delivery of Goods - N01,01/20/2017,02/07/2017,Unable to Locate Business - ULV,,NEW YORK,NY
Garage - 049,Exchange Goods/Contract Cancelled - E01,07/26/2018,08/07/2018,Cash Amount - AMT,Yes,NEW YORK,NY
Garage - 049,Damaged Goods - D01,07/19/2017,08/23/2017,Advised to Sue - ATS,No,REGO PARK,NY
Tow Truck Company - 124,Billing Dispute - B02,07/14/2017,08/03/2017,Cash Amount - AMT,Yes,NEW HYDE PARK,NY
Tow Truck Company - 124,Misrepresentation - M01,08/23/2017,10/23/2017,Cash Amount - AMT,Yes,BROOKLYN,NY
Home Improvement Contractor - 100,Quality of Work - Q01,03/23/2018,04/27/2018,Advised to Sue - ATS,No,HOWARD BEACH,NY
Misc Non-Food Retail - 817,Non-Delivery of Goods - N01,11/03/2017,11/13/2017,Goods Received - GDR,Yes,BROOKLYN,NY
Garage & Parking Lot - 098,Surcharge/Overcharge - S02,03/30/2017,04/11/2017,Resolved and Consumer Satisfied - SPF,Yes,NEW YORK,NY
Home Improvement Contractor - 100,Quality of Work - Q01,10/12/2017,11/08/2017,No Consumer Response - NCR,,FORKED RIVER,NJ
Garage & Parking Lot - 098,Non-Delivery of Goods - N01,06/25/2018,07/19/2018,Cash Amount - AMT,Yes,NEW YORK,NY
Dry Cleaners - 230,Closed without Notice,06/05/2018,06/20/2018,Goods Received - GDR,Yes,BROOKLYN,NY
Debt Settlement - 248,Misrepresentation - M01,03/23/2018,04/05/2018,Resolved and Consumer Satisfied - SPF,Yes,PLANO,TX
Misc Non-Food Retail - 817,Misrepresentation - M01,01/19/2018,02/09/2018,No Business Response - NVR,No,BROOKLYN,NY
Tow Truck Company - 124,Misrepresentation - M01,03/20/2017,04/06/2017,Cash Amount - AMT,Yes,BRONX,NY
Home Improvement Contractor - 100,Misrepresentation - M01,05/04/2018,06/07/2018,Advised to Sue - ATS,No,NEW YORK,NY
Appliances - 244,Damaged Goods - D01,07/06/2017,08/03/2017,Referred to Outside - RTO,,BROOKLYN,NY
Garage - 049,Surcharge/Overcharge - S02,10/13/2017,11/02/2017,Cash Amount - AMT,Yes,NEW YORK,NY
Home Improvement Contractor - 100,Quality of Work - Q01,01/06/2017,03/02/2017,Advised to Sue - ATS,No,BROOKLYN,NY
Debt Collection Agency - 122,Misrepresentation - M01,02/09/2018,02/23/2018,Resolved and Consumer Satisfied - SPF,Yes,FRISCO,TX
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,12/29/2016,01/26/2017,Goods Received - GDR,Yes,NEW YORK,NY
Electronic Store - 001,Defective Goods - D02,04/20/2017,05/01/2017,Resolved and Consumer Satisfied - SPF,Yes,RIDGEFIELD PARK,NJ
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,03/16/2017,04/28/2017,Credit Card Refund and/or Contract Cancelled - CRC,Yes,BRONX,NY
Home Improvement Contractor - 100,Quality of Work - Q01,04/06/2017,05/12/2017,Consumer Took Action - CTA,No,BROOKLYN,NY
Employment Agency - 034,Exchange Goods/Contract Cancelled - E01,03/17/2017,03/29/2017,Cash Amount - AMT,Yes,CORONA,NY
Garage - 049,Damage / Estimate,01/12/2018,01/26/2018,Cash Amount - AMT,Yes,NEW YORK,NY
Electronic Store - 001,Breach of Contract - B03,03/22/2017,04/14/2017,Cash Amount - AMT,Yes,BRONX,NY
Health Spa - 839,Billing Dispute - B02,04/20/2018,05/22/2018,Referred to Outside - RTO,,COLTS NECK,NJ
Home Improvement Contractor - 100,Damaged Goods - D01,11/09/2017,11/15/2017,Referred to Outside - RTO,,STATEN ISLAND,NY
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,03/17/2017,04/03/2017,No Satisfactory Preempted - NSP,,NEW YORK,NY
Dry Cleaners - 230,Damaged Goods - D01,03/13/2018,03/22/2018,No Satisfactory Agreement - NSA,No,QUEENS VILLAGE,NY
Home Improvement Contractor - 100,Misrepresentation - M01,08/10/2017,09/07/2017,Referred to Hearing - RTH,No,BRONX,NY
Tax Preparers - 891,Misrepresentation - M01,03/15/2018,04/19/2018,Resolved and Consumer Satisfied - SPF,Yes,BRONX,NY
Secondhand Dealer Auto - 005,Misrepresentation - M01,05/25/2018,06/08/2018,Cash Amount - AMT,Yes,BROOKLYN,NY
Tow Truck Company - 124,Billing Dispute - B02,12/27/2016,01/11/2017,Cash Amount - AMT,Yes,STATEN ISLAND,NY
Electronic Store - 001,Damaged Goods - D01,12/19/2017,12/22/2017,Goods Repaired - GRS,Yes,BRONX,NY
Electronic Store - 001,Misrepresentation - M01,04/03/2017,05/01/2017,Credit Card Refund and/or Contract Cancelled - CRC,Yes,NEW YORK,NY
Appliances - 244,Misrepresentation - M01,11/03/2017,12/11/2017,No Satisfactory Preempted - NSP,,BROOKLYN,NY
Debt Collection Agency - 122,Surcharge/Overcharge - S02,01/25/2018,02/12/2018,Resolved and Consumer Satisfied - SPF,Yes,SANDY,UT
Furniture Sales - 242,Surcharge/Overcharge - S02,02/03/2017,02/22/2017,Advised to Sue - ATS,No,WOODHAVEN,NY
Home Improvement Contractor - 100,Outstanding Judgment - J01,04/27/2018,05/11/2018,Referred to Hearing - RTH,No,ELMHURST,NY
Tow Truck Company - 124,Damage / Estimate,03/27/2017,04/26/2017,Referred to Hearing - RTH,No,MASPETH,NY
Travel Agency - 440,Wrong Goods - W01,04/20/2018,05/10/2018,Cash Amount - AMT,Yes,NEW YORK,NY
Electronic Store - 001,Advertising/Misleading - A02,07/25/2017,08/09/2017,Goods Received - GDR,Yes,BROOKLYN,NY
Debt Settlement - 248,Non-Delivery of Service - N02,11/16/2017,12/19/2017,Resolved and Consumer Satisfied - SPF,Yes,WOODLAND HILLS,CA
Electronic Store - 001,Misrepresentation - M01,05/15/2018,06/01/2018,No Satisfactory Agreement - NSA,No,MONSEY,NY
Home Improvement Contractor - 100,Quality of Work - Q01,08/04/2017,08/23/2017,Consumer Took Action - CTA,No,BROOKLYN,NY
Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,06/28/2017,08/18/2017,Cash Amount - AMT,Yes,RICHFIELD,MN
Debt Collection Agency - 122,Harassment - H01,04/19/2018,05/03/2018,Resolved and Consumer Satisfied - SPF,Yes,NORFOLK,VA
Travel Agency - 440,Misrepresentation - M01,05/18/2018,05/30/2018,Credit Card Refund and/or Contract Cancelled - CRC,Yes,BELLEVUE,WA
Home Improvement Contractor - 100,Quality of Work - Q01,08/17/2018,09/06/2018,Advised to Sue - ATS,No,BROOKLYN,NY
Other,Exchange Goods/Contract Cancelled - E01,06/07/2017,06/21/2017,Referred to Outside - RTO,,NEW YORK,NY
Misc Non-Food Retail - 817,Billing Dispute - B02,01/05/2018,01/22/2018,Credit Card Refund and/or Contract Cancelled - CRC,Yes,JAMAICA,NY
Electronic Store - 001,Advertising/Misleading - A02,05/16/2017,06/12/2017,Consumer Took Action - CTA,No,BROOKLYN,NY
Misc Non-Food Retail - 817,Quality of Work - Q01,08/24/2018,09/21/2018,Referred to Outside - RTO,,LONG ISLAND CIT,NY
Furniture Sales - 242,Misrepresentation - M01,07/27/2018,09/20/2018,Referred to Outside - RTO,,BRONX,NY
Tow Truck Company - 124,Damaged Goods - D01,02/03/2017,02/13/2017,Consumer Took Action - CTA,No,BROOKLYN,NY
Home Improvement Contractor - 100,Outstanding Judgment - J01,12/22/2017,01/19/2018,Referred to Hearing - RTH,No,BROOKLYN,NY
Debt Collection Agency - 122,Billing Dispute - B02,03/16/2018,04/04/2018,Resolved and Consumer Satisfied - SPF,Yes,CLEVELAND,OH
Tow Truck Company - 124,Billing Dispute - B02,04/07/2017,04/07/2017,Goods Received - GDR,Yes,MOUNT VERNON,NY
Misc Non-Food Retail - 817,Surcharge/Overcharge - S02,08/10/2018,08/30/2018,Referred to Outside - RTO,,BROOKLYN,NY
Furniture Sales - 242,Damaged Goods - D01,08/17/2017,09/22/2017,Credit Card Refund and/or Contract Cancelled - CRC,Yes,HOUSTON,TX
Home Improvement Contractor - 100,Quality of Work - Q01,04/24/2017,06/06/2017,Referred to Hearing - RTH,No,BROOKLYN,NY
Pawnbroker - 080,Lost Property - L02,03/23/2018,04/17/2018,Advised to Sue - ATS,No,SAINT ALBANS,NY
Electronic Store - 001,Damaged Goods - D01,06/30/2017,08/22/2017,No Business Response - NVR,No,BROOKLYN,NY
Home Improvement Contractor - 100,Quality of Work - Q01,09/08/2017,11/01/2017,No Satisfactory Agreement - NSA,No,STATEN ISLAND,NY
Home Improvement Contractor - 100,Quality of Work - Q01,08/10/2018,09/11/2018,No Consumer Response - NCR,,BRONX,NY
Furniture Sales - 242,Damaged Goods - D01,12/01/2017,01/08/2018,No Business Response - NVR,No,RIDGEWOOD,NY
Home Improvement Contractor - 100,Quality of Work - Q01,02/17/2017,04/18/2017,No Consumer Response - NCR,,BAYSIDE,NY
Furniture Sales - 242,Exchange Goods/Contract Cancelled - E01,11/09/2017,11/16/2017,Credit Card Refund and/or Contract Cancelled - CRC,Yes,MANCHESTER,CT
Debt Collection Agency - 122,Misrepresentation - M01,04/03/2018,04/11/2018,Bill Reduced - BLR,Yes,FLORAL PARK,NY
Dry Cleaners - 230,Non-Delivery of Service - N02,10/19/2017,10/31/2017,Cash Amount - AMT,Yes,BROOKLYN,NY
Garage - 049,Non-Delivery Goods/Services,12/12/2017,12/20/2017,Cash Amount - AMT,Yes,NEW YORK,NY
Tow Truck Company - 124,Surcharge/Overcharge - S02,09/14/2017,10/26/2017,Cash Amount - AMT,Yes,MASPETH,NY
Electronic Store - 001,Breach of Contract - B03,07/20/2018,08/15/2018,Unable to Locate Business - ULV,,BRONX,NY
Secondhand Dealer Auto - 005,Damaged Goods - D01,07/20/2018,07/25/2018,Advised to Sue - ATS,No,BROOKLYN,NY
Retail Store - 820,Misrepresentation - M01,05/24/2017,06/09/2017,Credit Card Refund and/or Contract Cancelled - CRC,Yes,NEW YORK,NY
Secondhand Dealer Auto - 005,Billing Dispute - B02,03/02/2018,03/09/2018,Consumer Took Action - CTA,No,BRONX,NY
Dry Cleaners - 230,Non-Delivery of Goods - N01,12/04/2017,12/11/2017,Unable to Locate Business - ULV,,COLLEGE POINT,NY
Furniture Sales - 242,Non-Delivery of Goods - N01,06/14/2017,06/28/2017,Unable to Locate Business - ULV,,BRONX,NY
Electronic Store - 001,Breach of Contract - B03,01/05/2017,02/15/2017,Advised to Sue - ATS,No,BROOKLYN,NY
Tow Truck Company - 124,Billing Dispute - B02,11/16/2017,12/05/2017,Cash Amount - AMT,Yes,BRONX,NY
Tax Preparers - 891,Misrepresentation - M01,07/03/2017,08/22/2017,No Consumer Response - NCR,,BRONX,NY
Employment Agency - 034,Non-Delivery of Service - N02,03/06/2017,03/21/2017,Cash Amount - AMT,Yes,JACKSON HEIGHTS,NY
Tow Truck Company - 124,Misrepresentation - M01,06/12/2018,07/02/2018,Resolved and Consumer Satisfied - SPF,Yes,SPRNGFLD GDNS,NY
Home Improvement Contractor - 100,Breach of Contract - B03,07/20/2018,08/10/2018,Advised to Sue - ATS,No,STATEN ISLAND,NY
Furniture Sales - 242,Damaged Goods - D01,03/29/2018,05/17/2018,No Satisfactory Agreement - NSA,No,HICKSVILLE,NY
Home Improvement Contractor - 100,Breach of Contract - B03,07/10/2017,08/01/2017,Advised to Sue - ATS,No,WHITESTONE,NY
Debt Collection Agency - 122,Billing Dispute - B02,04/10/2018,04/16/2018,Resolved and Consumer Satisfied - SPF,Yes,ROSWELL,GA
Home Improvement Contractor - 100,Quality of Work - Q01,09/26/2017,10/25/2017,Advised to Sue - ATS,No,BROOKLYN,NY
Garage - 049,Damaged Goods - D01,03/16/2018,04/25/2018,Advised to Sue - ATS,No,NEW YORK,NY
Restaurant - 818,Surcharge/Overcharge - S02,04/19/2017,05/12/2017,Cash Amount - AMT,Yes,JACKSON HEIGHTS,NY
Pawnbroker - 080,Surcharge/Overcharge - S02,05/31/2017,06/12/2017,Resolved and Consumer Satisfied - SPF,Yes,BRONX,NY
Home Improvement Contractor - 100,Quality of Work - Q01,08/04/2017,09/11/2017,Referred to Hearing - RTH,No,STATEN ISLAND,NY
Tow Truck Company - 124,Surcharge/Overcharge - S02,06/08/2018,07/17/2018,No Business Response - NVR,No,BROOKLYN,NY
Home Improvement Contractor - 100,Quality of Work - Q01,04/05/2018,04/25/2018,Advised to Sue - ATS,No,BROOKLYN,NY
Home Improvement Contractor - 100,Breach of Contract - B03,05/25/2017,07/14/2017,Advised to Sue - ATS,No,ASTORIA,NY
Misc Non-Food Retail - 817,Misrepresentation - M01,04/26/2018,05/23/2018,No Satisfactory Agreement - NSA,No,BROOKLYN,NY
Electronic Store - 001,Surcharge/Overcharge - S02,08/17/2018,09/04/2018,Credit Card Refund and/or Contract Cancelled - CRC,Yes,NEW YORK,NY
Supermarket - 819,Non-Delivery of Goods - N01,10/10/2017,10/12/2017,Goods Received - GDR,Yes,BROOKLYN,NY
Furniture Sales - 242,Surcharge/Overcharge - S02,06/07/2017,06/19/2017,Complaint Invalid - CIN,,NEW YORK,NY
Supermarket - 819,Misrepresentation - M01,09/28/2017,10/24/2017,Resolved and Consumer Satisfied - SPF,Yes,QUINCY,MA
Other,Misrepresentation - M01,04/05/2017,05/08/2017,Advised to Sue - ATS,No,NEW YORK,NY
Debt Collection Agency - 122,Billing Dispute - B02,10/23/2017,12/05/2017,No Business Response - NVR,No,RIVERSIDE,CA
Tow Truck Company - 124,Billing Dispute - B02,09/21/2017,10/11/2017,Cash Amount - AMT,Yes,BRONX,NY
Electronic Store - 001,Misrepresentation - M01,02/13/2018,03/01/2018,Credit Card Refund and/or Contract Cancelled - CRC,Yes,BROOKFIELD,CT
Home Improvement Contractor - 100,Quality of Work - Q01,03/02/2018,04/16/2018,Advised to Sue - ATS,No,FRESH MEADOWS,NY
Tow Truck Company - 124,Surcharge/Overcharge - S02,09/19/2017,10/16/2017,Advised to Sue - ATS,No,BRONX,NY
Home Improvement Contractor - 100,Non-Delivery of Service - N02,02/09/2018,03/02/2018,Unable to Locate Business - ULV,,BROOKLYN,NY
Electronic & Home Appliance Service Dealer - 115,Non-Delivery of Goods - N01,01/19/2017,02/03/2017,Unable to Locate Business - ULV,,NEW YORK,NY
Travel Agency - 440,Advertising/Misleading - A02,03/28/2017,04/20/2017,Store Credit - SCR,Yes,BROOKLYN,NY
Tow Truck Company - 124,Surcharge/Overcharge - S02,11/06/2017,11/08/2017,Resolved and Consumer Satisfied - SPF,Yes,BROOKLYN,NY
Home Improvement Contractor - 100,Unlicensed,06/01/2017,07/21/2017,Advised to Sue - ATS,No,BROOKLYN,NY
Tow Truck Company - 124,Surcharge/Overcharge - S02,04/24/2018,05/23/2018,No Satisfactory Agreement - NSA,No,QUEENS VILLAGE,NY
Tow Truck Company - 124,Billing Dispute - B02,03/07/2017,03/28/2017,Referred to Outside - RTO,,BROOKLYN,NY
Misc Non-Food Retail - 817,Billing Dispute - B02,09/07/2017,10/20/2017,Resolved and Consumer Satisfied - SPF,Yes,NEW YORK,NY
Home Improvement Contractor - 100,Breach of Contract - B03,11/24/2017,12/19/2017,No Satisfactory Agreement - NSA,No,BROOKLYN,NY
Tow Truck Company - 124,Surcharge/Overcharge - S02,03/10/2017,03/27/2017,Resolved and Consumer Satisfied - SPF,Yes,OZONE PARK,NY
Tow Truck Company - 124,Misrepresentation - M01,08/10/2018,08/21/2018,Cash Amount - AMT,Yes,OZONE PARK,NY
Furniture Sales - 242,Exchange Goods/Contract Cancelled - E01,01/04/2017,03/07/2017,Goods Exchanged - GEX,Yes,PASSAIC,NJ
Misc Non-Food Retail - 817,Credit Card Limitations Not Posted,04/17/2018,04/24/2018,Complaint Invalid - CIN,,NEW YORK,NY
Hotel/Motel - 460,Refund Policy - R01,01/05/2018,01/23/2018,Complaint Invalid - CIN,,NEW YORK,NY
Electronic Store - 001,Advertising/General - A01,07/27/2017,09/06/2017,No Satisfactory Agreement - NSA,No,BRONX,NY
Furniture Sales - 242,Exchange Goods/Contract Cancelled - E01,12/28/2017,01/18/2018,Resolved and Consumer Satisfied - SPF,Yes,MANCHESTER,CT
Home Improvement Contractor - 100,Non-Delivery of Service - N02,02/24/2017,03/17/2017,Referred to Outside - RTO,,BRONX,NY
Debt Settlement - 248,Misrepresentation - M01,06/22/2018,08/10/2018,Advised to Sue - ATS,No,NEW YORK,NY
Tow Truck Company - 124,Misrepresentation - M01,07/05/2017,07/13/2017,Referred to Outside - RTO,,S OZONE PARK,NY
Furniture Sales - 242,Wrong Goods - W01,07/28/2017,08/31/2017,Advised to Sue - ATS,No,BROOKLYN,NY
Appliances - 244,Defective Goods - D02,05/02/2017,05/09/2017,Cash Amount - AMT,Yes,MOORESVILLE,NC
Electronic Store - 001,Damaged Goods - D01,05/10/2017,06/13/2017,Cash Amount - AMT,Yes,NEW YORK,NY
Home Improvement Contractor - 100,Non-Delivery of Service - N02,01/31/2017,02/09/2017,Referred to Hearing - RTH,No,BROOKLYN,NY
Debt Collection Agency - 122,Misrepresentation - M01,03/10/2017,03/28/2017,Bill Reduced - BLR,Yes,MELVILLE,NY
Dry Cleaners - 230,Closed without Notice,08/14/2018,08/20/2018,Unable to Locate Business - ULV,,BROOKLYN,NY
Debt Collection Agency - 122,Billing Dispute - B02,11/09/2017,11/21/2017,Resolved and Consumer Satisfied - SPF,Yes,ROSWELL,GA
Secondhand Dealer Auto - 005,Breach of Contract - B03,05/10/2017,07/07/2017,Referred to Outside - RTO,,BROOKLYN,NY
Debt Collection Agency - 122,Billing Dispute - B02,06/22/2018,07/05/2018,Bill Reduced - BLR,Yes,GREENVILLE,SC
Tow Truck Company - 124,Billing Dispute - B02,01/04/2018,01/17/2018,Resolved and Consumer Satisfied - SPF,Yes,BROOKLYN,NY
Home Improvement Contractor - 100,Breach of Warranty - B04,02/08/2017,03/01/2017,Advised to Sue - ATS,No,BROOKLYN,NY
Garage - 049,Surcharge/Overcharge - S02,05/01/2018,05/25/2018,Cash Amount - AMT,Yes,NEW YORK,NY
Debt Collection Agency - 122,Billing Dispute - B02,09/11/2018,09/21/2018,Resolved and Consumer Satisfied - SPF,Yes,SAINT PAUL,MN
Fuel Oil Dealer - 814,Surcharge/Overcharge - S02,05/31/2017,07/03/2017,Bill Reduced - BLR,Yes,BROOKLYN,NY
Electronic & Home Appliance Service Dealer - 115,Closed without Notice,04/27/2018,05/04/2018,Goods Repaired - GRS,Yes,BRONX,NY
Home Improvement Contractor - 100,Outstanding Judgment - J01,03/22/2017,04/28/2017,Referred to Hearing - RTH,No,ASTORIA,NY
Tow Truck Company - 124,Billing Dispute - B02,10/03/2017,10/11/2017,Referred to Outside - RTO,,BROOKLYN,NY
Home Improvement Contractor - 100,Quality of Work - Q01,06/26/2018,08/20/2018,Advised to Sue - ATS,No,MOUNT SINAI,NY
Tow Truck Company - 124,Surcharge/Overcharge - S02,06/15/2017,08/01/2017,Cash Amount - AMT,Yes,WOODSIDE,NY
Tow Truck Company - 124,Billing Dispute - B02,07/26/2018,08/03/2018,Referred to Outside - RTO,,BROOKLYN,NY
Home Improvement Contractor - 100,Breach of Contract - B03,01/05/2018,01/29/2018,Bill Reduced - BLR,Yes,COLLEGE POINT,NY
Tow Truck Company - 124,Billing Dispute - B02,12/28/2016,02/07/2017,Referred to Outside - RTO,,WOODSIDE,NY
Electronic Store - 001,Defective Goods - D02,08/28/2018,09/14/2018,Advised to Sue - ATS,No,STATEN ISLAND,NY
Home Improvement Contractor - 100,Quality of Work - Q01,04/05/2018,04/27/2018,No Consumer Response - NCR,,NEW YORK,NY
Appliances - 244,Exchange Goods/Contract Cancelled - E01,05/08/2018,05/22/2018,Complaint Invalid - CIN,,NEW YORK,NY
Employment Agency - 034,Exchange Goods/Contract Cancelled - E01,02/03/2017,03/23/2017,Complaint Invalid - CIN,,NEW YORK,NY
Misc Non-Food Retail - 817,Quality of Work - Q01,01/09/2017,02/17/2017,Unable to Locate Business - ULV,,BAYSIDE,NY
Locksmith - 062,Quality of Work - Q01,04/26/2017,05/31/2017,Advised to Sue - ATS,No,BROOKLYN,NY
Garage - 049,Surcharge/Overcharge - S02,04/03/2018,04/12/2018,Cash Amount - AMT,Yes,NEW YORK,NY
Tow Truck Company - 124,Surcharge/Overcharge - S02,05/04/2018,05/14/2018,Referred to Outside - RTO,,NEW HYDE PARK,NY
Electronic Store - 001,Advertising/Misleading - A02,04/20/2018,05/15/2018,No Business Response - NVR,No,NEW YORK,NY
Home Improvement Contractor - 100,Non-Delivery of Service - N02,10/03/2017,11/14/2017,Resolved and Consumer Satisfied - SPF,Yes,NEW ROCHELLE,NY
Debt Collection Agency - 122,Billing Dispute - B02,11/03/2017,11/20/2017,Bill Reduced - BLR,Yes,JACKSONVILLE,FL
Mailorder Misc - 319,Non-Delivery of Goods - N01,06/25/2018,06/29/2018,Resolved and Consumer Satisfied - SPF,Yes,BRONX,NY
Auction House - 128,Non-Delivery of Service - N02,09/11/2017,10/13/2017,No Business Response - NVR,No,NEW YORK,NY
Home Improvement Contractor - 100,Non-Delivery of Service - N02,12/13/2016,01/20/2017,Referred to Hearing - RTH,No,EAST ELMHURST,NY
Appliances - 244,Damaged Goods - D01,11/09/2017,12/05/2017,Referred to Outside - RTO,,LISLE,IL
Wearing Apparel - 450,Exchange Goods/Contract Cancelled - E01,09/14/2018,09/21/2018,Credit Card Refund and/or Contract Cancelled - CRC,Yes,STATEN ISLAND,NY
Electronic & Home Appliance Service Dealer - 115,Misrepresentation - M01,07/24/2018,08/10/2018,Cash Amount - AMT,Yes,FREEPORT,NY
Debt Collection Agency - 122,Billing Dispute - B02,04/21/2017,05/15/2017,Resolved and Consumer Satisfied - SPF,Yes,ROSWELL,GA
Health Spa - 839,Misrepresentation - M01,04/20/2018,05/22/2018,Advised to Sue - ATS,No,COLTS NECK,NJ
Home Improvement Contractor - 100,Breach of Warranty - B04,03/03/2017,04/18/2017,Complaint Invalid - CIN,,FLORAL PARK,NY
Debt Collection Agency - 122,Misrepresentation - M01,04/26/2017,05/17/2017,Bill Reduced - BLR,Yes,CARROLLTON,TX
Auto Rental - 213,Misrepresentation - M01,09/12/2017,09/25/2017,Referred to Outside - RTO,,ST PETERSBURG,FL
Grocery-Retail - 808,Exchange Goods/Contract Cancelled - E01,04/24/2018,05/02/2018,Resolved and Consumer Satisfied - SPF,Yes,BROOKLYN,NY
Electronic Store - 001,Defective Goods - D02,03/08/2017,03/28/2017,No Satisfactory Agreement - NSA,No,LISLE,IL
Home Improvement Contractor - 100,Breach of Contract - B03,04/20/2018,05/09/2018,Goods Repaired - GRS,Yes,S OZONE PARK,NY
Misc Non-Food Retail - 817,Misrepresentation - M01,11/04/2016,01/04/2017,Advised to Sue - ATS,No,BROOKLYN,NY
Employment Agency - 034,Misrepresentation - M01,07/13/2017,08/02/2017,Advised to Sue - ATS,No,NEW YORK,NY
Restaurant - 818,Surcharge/Overcharge - S02,09/14/2017,09/20/2017,Cash Amount - AMT,Yes,BRONX,NY
Home Improvement Contractor - 100,Quality of Work - Q01,07/06/2018,08/10/2018,Advised to Sue - ATS,No,CLIFTON,NJ
Debt Collection Agency - 122,Harassment - H01,08/23/2017,08/30/2017,Bill Reduced - BLR,Yes,SYOSSET,NY
Tow Truck Company - 124,Billing Dispute - B02,10/19/2017,11/03/2017,Resolved and Consumer Satisfied - SPF,Yes,STATEN ISLAND,NY
Dealer In Products For The Disabled - 119,Non-Delivery of Goods - N01,05/05/2017,05/18/2017,Bill Reduced - BLR,Yes,GREAT NECK,NY
Dry Cleaners - 230,Non-Delivery of Goods - N01,04/05/2017,04/21/2017,Unable to Locate Business - ULV,,LONG ISLAND CITY,NY
Furniture Sales - 242,Exchange Goods/Contract Cancelled - E01,12/22/2017,02/02/2018,Advised to Sue - ATS,No,BROOKLYN,NY
Booting Company - 126,Illegal/Unfair Booting,09/05/2018,09/21/2018,Cash Amount - AMT,Yes,OZONE PARK,NY
Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,08/17/2018,09/13/2018,No Satisfactory Agreement - NSA,No,BROOKLYN,NY
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,05/25/2017,06/16/2017,Cash Amount - AMT,Yes,BRONX,NY
Laundry Jobber - 066,Surcharge/Overcharge - S02,06/08/2017,07/19/2017,Cash Amount - AMT,Yes,ASTORIA,NY
Home Improvement Contractor - 100,Unlicensed,12/28/2016,02/17/2017,Referred to Hearing - RTH,No,NEW YORK,NY
Furniture Sales - 242,Damaged Goods - D01,03/01/2017,03/24/2017,Cash Amount - AMT,Yes,HICKSVILLE,NY
Tow Truck Company - 124,Surcharge/Overcharge - S02,07/06/2018,07/10/2018,Referred to Outside - RTO,,BROOKLYN,NY
