,Industry,Complaint Type,Mediation Start Date,Mediation Close Date,Complaint Result,Satisfaction,Business City,Business State,Count the number of first five most complainted states,
69,Electronic Store - 001,Misrepresentation - M01,05/15/2018,06/01/2018,No Satisfactory Agreement - NSA,No,MONSEY,NY,,
70,Home Improvement Contractor - 100,Quality of Work - Q01,08/04/2017,08/23/2017,Consumer Took Action - CTA,No,BROOKLYN,NY,,
71,Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,06/28/2017,08/18/2017,Cash Amount - AMT,Yes,RICHFIELD,MN,,
72,Debt Collection Agency - 122,Harassment - H01,04/19/2018,05/03/2018,Resolved and Consumer Satisfied - SPF,Yes,NORFOLK,VA,,
73,Travel Agency - 440,Misrepresentation - M01,05/18/2018,05/30/2018,Credit Card Refund and/or Contract Cancelled - CRC,Yes,BELLEVUE,WA,,
75,Home Improvement Contractor - 100,Quality of Work - Q01,08/17/2018,09/06/2018,Advised to Sue - ATS,No,BROOKLYN,NY,,
76,Other,Exchange Goods/Contract Cancelled - E01,06/07/2017,06/21/2017,Referred to Outside - RTO,,NEW YORK,NY,,
77,Misc Non-Food Retail - 817,Billing Dispute - B02,01/05/2018,01/22/2018,Credit Card Refund and/or Contract Cancelled - CRC,Yes,JAMAICA,NY,,
78,Electronic Store - 001,Advertising/Misleading - A02,05/16/2017,06/12/2017,Consumer Took Action - CTA,No,BROOKLYN,NY,,
79,Misc Non-Food Retail - 817,Quality of Work - Q01,08/24/2018,09/21/2018,Referred to Outside - RTO,,LONG ISLAND CIT,NY,,
80,Furniture Sales - 242,Misrepresentation - M01,07/27/2018,09/20/2018,Referred to Outside - RTO,,BRONX,NY,,
81,Tow Truck Company - 124,Damaged Goods - D01,02/03/2017,02/13/2017,Consumer Took Action - CTA,No,BROOKLYN,NY,,
83,Home Improvement Contractor - 100,Outstanding Judgment - J01,12/22/2017,01/19/2018,Referred to Hearing - RTH,No,BROOKLYN,NY,,
85,Debt Collection Agency - 122,Billing Dispute - B02,03/16/2018,04/04/2018,Resolved and Consumer Satisfied - SPF,Yes,CLEVELAND,OH,,
86,Tow Truck Company - 124,Billing Dispute - B02,04/07/2017,04/07/2017,Goods Received - GDR,Yes,MOUNT VERNON,NY,,
87,Misc Non-Food Retail - 817,Surcharge/Overcharge - S02,08/10/2018,08/30/2018,Referred to Outside - RTO,,BROOKLYN,NY,,
88,Furniture Sales - 242,Damaged Goods - D01,08/17/2017,09/22/2017,Credit Card Refund and/or Contract Cancelled - CRC,Yes,HOUSTON,TX,,
89,Home Improvement Contractor - 100,Quality of Work - Q01,04/24/2017,06/06/2017,Referred to Hearing - RTH,No,BROOKLYN,NY,,
90,Pawnbroker - 080,Lost Property - L02,03/23/2018,04/17/2018,Advised to Sue - ATS,No,SAINT ALBANS,NY,,
91,Electronic Store - 001,Damaged Goods - D01,06/30/2017,08/22/2017,No Business Response - NVR,No,BROOKLYN,NY,,
92,Home Improvement Contractor - 100,Quality of Work - Q01,09/08/2017,11/01/2017,No Satisfactory Agreement - NSA,No,STATEN ISLAND,NY,,
93,Home Improvement Contractor - 100,Quality of Work - Q01,08/10/2018,09/11/2018,No Consumer Response - NCR,,BRONX,NY,,
94,Furniture Sales - 242,Damaged Goods - D01,12/01/2017,01/08/2018,No Business Response - NVR,No,RIDGEWOOD,NY,,
95,Home Improvement Contractor - 100,Quality of Work - Q01,02/17/2017,04/18/2017,No Consumer Response - NCR,,BAYSIDE,NY,,
96,Furniture Sales - 242,Exchange Goods/Contract Cancelled - E01,11/09/2017,11/16/2017,Credit Card Refund and/or Contract Cancelled - CRC,Yes,MANCHESTER,CT,,
98,Debt Collection Agency - 122,Misrepresentation - M01,04/03/2018,04/11/2018,Bill Reduced - BLR,Yes,FLORAL PARK,NY,,
99,Dry Cleaners - 230,Non-Delivery of Service - N02,10/19/2017,10/31/2017,Cash Amount - AMT,Yes,BROOKLYN,NY,,
100,Garage - 049,Non-Delivery Goods/Services,12/12/2017,12/20/2017,Cash Amount - AMT,Yes,NEW YORK,NY,,
101,Tow Truck Company - 124,Surcharge/Overcharge - S02,09/14/2017,10/26/2017,Cash Amount - AMT,Yes,MASPETH,NY,,
102,Electronic Store - 001,Breach of Contract - B03,07/20/2018,08/15/2018,Unable to Locate Business - ULV,,BRONX,NY,,
103,Secondhand Dealer Auto - 005,Damaged Goods - D01,07/20/2018,07/25/2018,Advised to Sue - ATS,No,BROOKLYN,NY,,
104,Retail Store - 820,Misrepresentation - M01,05/24/2017,06/09/2017,Credit Card Refund and/or Contract Cancelled - CRC,Yes,NEW YORK,NY,,
105,Secondhand Dealer Auto - 005,Billing Dispute - B02,03/02/2018,03/09/2018,Consumer Took Action - CTA,No,BRONX,NY,,
106,Dry Cleaners - 230,Non-Delivery of Goods - N01,12/04/2017,12/11/2017,Unable to Locate Business - ULV,,COLLEGE POINT,NY,,
107,Furniture Sales - 242,Non-Delivery of Goods - N01,06/14/2017,06/28/2017,Unable to Locate Business - ULV,,BRONX,NY,,
109,Electronic Store - 001,Breach of Contract - B03,01/05/2017,02/15/2017,Advised to Sue - ATS,No,BROOKLYN,NY,,
110,Tow Truck Company - 124,Billing Dispute - B02,11/16/2017,12/05/2017,Cash Amount - AMT,Yes,BRONX,NY,,
111,Tax Preparers - 891,Misrepresentation - M01,07/03/2017,08/22/2017,No Consumer Response - NCR,,BRONX,NY,,
112,Employment Agency - 034,Non-Delivery of Service - N02,03/06/2017,03/21/2017,Cash Amount - AMT,Yes,JACKSON HEIGHTS,NY,,
113,Tow Truck Company - 124,Misrepresentation - M01,06/12/2018,07/02/2018,Resolved and Consumer Satisfied - SPF,Yes,SPRNGFLD GDNS,NY,,
114,Home Improvement Contractor - 100,Breach of Contract - B03,07/20/2018,08/10/2018,Advised to Sue - ATS,No,STATEN ISLAND,NY,,
115,Furniture Sales - 242,Damaged Goods - D01,03/29/2018,05/17/2018,No Satisfactory Agreement - NSA,No,HICKSVILLE,NY,,
117,Home Improvement Contractor - 100,Breach of Contract - B03,07/10/2017,08/01/2017,Advised to Sue - ATS,No,WHITESTONE,NY,,
118,Debt Collection Agency - 122,Billing Dispute - B02,04/10/2018,04/16/2018,Resolved and Consumer Satisfied - SPF,Yes,ROSWELL,GA,,
119,Home Improvement Contractor - 100,Quality of Work - Q01,09/26/2017,10/25/2017,Advised to Sue - ATS,No,BROOKLYN,NY,,
120,Garage - 049,Damaged Goods - D01,03/16/2018,04/25/2018,Advised to Sue - ATS,No,NEW YORK,NY,,
121,Restaurant - 818,Surcharge/Overcharge - S02,04/19/2017,05/12/2017,Cash Amount - AMT,Yes,JACKSON HEIGHTS,NY,,
122,Pawnbroker - 080,Surcharge/Overcharge - S02,05/31/2017,06/12/2017,Resolved and Consumer Satisfied - SPF,Yes,BRONX,NY,,
123,Home Improvement Contractor - 100,Quality of Work - Q01,08/04/2017,09/11/2017,Referred to Hearing - RTH,No,STATEN ISLAND,NY,,
124,Tow Truck Company - 124,Surcharge/Overcharge - S02,06/08/2018,07/17/2018,No Business Response - NVR,No,BROOKLYN,NY,,
125,Home Improvement Contractor - 100,Quality of Work - Q01,04/05/2018,04/25/2018,Advised to Sue - ATS,No,BROOKLYN,NY,,
126,Home Improvement Contractor - 100,Breach of Contract - B03,05/25/2017,07/14/2017,Advised to Sue - ATS,No,ASTORIA,NY,,
127,Misc Non-Food Retail - 817,Misrepresentation - M01,04/26/2018,05/23/2018,No Satisfactory Agreement - NSA,No,BROOKLYN,NY,,
128,Electronic Store - 001,Surcharge/Overcharge - S02,08/17/2018,09/04/2018,Credit Card Refund and/or Contract Cancelled - CRC,Yes,NEW YORK,NY,,
129,Supermarket - 819,Non-Delivery of Goods - N01,10/10/2017,10/12/2017,Goods Received - GDR,Yes,BROOKLYN,NY,,
130,Furniture Sales - 242,Surcharge/Overcharge - S02,06/07/2017,06/19/2017,Complaint Invalid - CIN,,NEW YORK,NY,,
131,Supermarket - 819,Misrepresentation - M01,09/28/2017,10/24/2017,Resolved and Consumer Satisfied - SPF,Yes,QUINCY,MA,,
132,Other,Misrepresentation - M01,04/05/2017,05/08/2017,Advised to Sue - ATS,No,NEW YORK,NY,,
133,Debt Collection Agency - 122,Billing Dispute - B02,10/23/2017,12/05/2017,No Business Response - NVR,No,RIVERSIDE,CA,,
134,Tow Truck Company - 124,Billing Dispute - B02,09/21/2017,10/11/2017,Cash Amount - AMT,Yes,BRONX,NY,,
135,Electronic Store - 001,Misrepresentation - M01,02/13/2018,03/01/2018,Credit Card Refund and/or Contract Cancelled - CRC,Yes,BROOKFIELD,CT,,
136,Home Improvement Contractor - 100,Quality of Work - Q01,03/02/2018,04/16/2018,Advised to Sue - ATS,No,FRESH MEADOWS,NY,,
137,Tow Truck Company - 124,Surcharge/Overcharge - S02,09/19/2017,10/16/2017,Advised to Sue - ATS,No,BRONX,NY,,
138,Home Improvement Contractor - 100,Non-Delivery of Service - N02,02/09/2018,03/02/2018,Unable to Locate Business - ULV,,BROOKLYN,NY,,
139,Electronic & Home Appliance Service Dealer - 115,Non-Delivery of Goods - N01,01/19/2017,02/03/2017,Unable to Locate Business - ULV,,NEW YORK,NY,,
140,Travel Agency - 440,Advertising/Misleading - A02,03/28/2017,04/20/2017,Store Credit - SCR,Yes,BROOKLYN,NY,,
141,Tow Truck Company - 124,Surcharge/Overcharge - S02,11/06/2017,11/08/2017,Resolved and Consumer Satisfied - SPF,Yes,BROOKLYN,NY,,
142,Home Improvement Contractor - 100,Unlicensed,06/01/2017,07/21/2017,Advised to Sue - ATS,No,BROOKLYN,NY,,
143,Tow Truck Company - 124,Surcharge/Overcharge - S02,04/24/2018,05/23/2018,No Satisfactory Agreement - NSA,No,QUEENS VILLAGE,NY,,
144,Tow Truck Company - 124,Billing Dispute - B02,03/07/2017,03/28/2017,Referred to Outside - RTO,,BROOKLYN,NY,,
146,Misc Non-Food Retail - 817,Billing Dispute - B02,09/07/2017,10/20/2017,Resolved and Consumer Satisfied - SPF,Yes,NEW YORK,NY,,
147,Home Improvement Contractor - 100,Breach of Contract - B03,11/24/2017,12/19/2017,No Satisfactory Agreement - NSA,No,BROOKLYN,NY,,
148,Tow Truck Company - 124,Surcharge/Overcharge - S02,03/10/2017,03/27/2017,Resolved and Consumer Satisfied - SPF,Yes,OZONE PARK,NY,,
149,Tow Truck Company - 124,Misrepresentation - M01,08/10/2018,08/21/2018,Cash Amount - AMT,Yes,OZONE PARK,NY,,
150,Furniture Sales - 242,Exchange Goods/Contract Cancelled - E01,01/04/2017,03/07/2017,Goods Exchanged - GEX,Yes,PASSAIC,NJ,,
151,Misc Non-Food Retail - 817,Credit Card Limitations Not Posted,04/17/2018,04/24/2018,Complaint Invalid - CIN,,NEW YORK,NY,,
153,Hotel/Motel - 460,Refund Policy - R01,01/05/2018,01/23/2018,Complaint Invalid - CIN,,NEW YORK,NY,,
155,Electronic Store - 001,Advertising/General - A01,07/27/2017,09/06/2017,No Satisfactory Agreement - NSA,No,BRONX,NY,,
156,Furniture Sales - 242,Exchange Goods/Contract Cancelled - E01,12/28/2017,01/18/2018,Resolved and Consumer Satisfied - SPF,Yes,MANCHESTER,CT,,
157,Home Improvement Contractor - 100,Non-Delivery of Service - N02,02/24/2017,03/17/2017,Referred to Outside - RTO,,BRONX,NY,,
158,Debt Settlement - 248,Misrepresentation - M01,06/22/2018,08/10/2018,Advised to Sue - ATS,No,NEW YORK,NY,,
159,Tow Truck Company - 124,Misrepresentation - M01,07/05/2017,07/13/2017,Referred to Outside - RTO,,S OZONE PARK,NY,,
160,Furniture Sales - 242,Wrong Goods - W01,07/28/2017,08/31/2017,Advised to Sue - ATS,No,BROOKLYN,NY,,
161,Appliances - 244,Defective Goods - D02,05/02/2017,05/09/2017,Cash Amount - AMT,Yes,MOORESVILLE,NC,,
162,Electronic Store - 001,Damaged Goods - D01,05/10/2017,06/13/2017,Cash Amount - AMT,Yes,NEW YORK,NY,,
163,Home Improvement Contractor - 100,Non-Delivery of Service - N02,01/31/2017,02/09/2017,Referred to Hearing - RTH,No,BROOKLYN,NY,,
164,Debt Collection Agency - 122,Misrepresentation - M01,03/10/2017,03/28/2017,Bill Reduced - BLR,Yes,MELVILLE,NY,,
165,Dry Cleaners - 230,Closed without Notice,08/14/2018,08/20/2018,Unable to Locate Business - ULV,,BROOKLYN,NY,,
166,Debt Collection Agency - 122,Billing Dispute - B02,11/09/2017,11/21/2017,Resolved and Consumer Satisfied - SPF,Yes,ROSWELL,GA,,
167,Secondhand Dealer Auto - 005,Breach of Contract - B03,05/10/2017,07/07/2017,Referred to Outside - RTO,,BROOKLYN,NY,,
168,Debt Collection Agency - 122,Billing Dispute - B02,06/22/2018,07/05/2018,Bill Reduced - BLR,Yes,GREENVILLE,SC,,
169,Tow Truck Company - 124,Billing Dispute - B02,01/04/2018,01/17/2018,Resolved and Consumer Satisfied - SPF,Yes,BROOKLYN,NY,,
170,Home Improvement Contractor - 100,Breach of Warranty - B04,02/08/2017,03/01/2017,Advised to Sue - ATS,No,BROOKLYN,NY,,
171,Garage - 049,Surcharge/Overcharge - S02,05/01/2018,05/25/2018,Cash Amount - AMT,Yes,NEW YORK,NY,,
172,Debt Collection Agency - 122,Billing Dispute - B02,09/11/2018,09/21/2018,Resolved and Consumer Satisfied - SPF,Yes,SAINT PAUL,MN,,
173,Fuel Oil Dealer - 814,Surcharge/Overcharge - S02,05/31/2017,07/03/2017,Bill Reduced - BLR,Yes,BROOKLYN,NY,,
174,Electronic & Home Appliance Service Dealer - 115,Closed without Notice,04/27/2018,05/04/2018,Goods Repaired - GRS,Yes,BRONX,NY,,
175,Home Improvement Contractor - 100,Outstanding Judgment - J01,03/22/2017,04/28/2017,Referred to Hearing - RTH,No,ASTORIA,NY,,
176,Tow Truck Company - 124,Billing Dispute - B02,10/03/2017,10/11/2017,Referred to Outside - RTO,,BROOKLYN,NY,,
177,Home Improvement Contractor - 100,Quality of Work - Q01,06/26/2018,08/20/2018,Advised to Sue - ATS,No,MOUNT SINAI,NY,,
178,Tow Truck Company - 124,Surcharge/Overcharge - S02,06/15/2017,08/01/2017,Cash Amount - AMT,Yes,WOODSIDE,NY,,
179,Tow Truck Company - 124,Billing Dispute - B02,07/26/2018,08/03/2018,Referred to Outside - RTO,,BROOKLYN,NY,,
180,Home Improvement Contractor - 100,Breach of Contract - B03,01/05/2018,01/29/2018,Bill Reduced - BLR,Yes,COLLEGE POINT,NY,,
181,Tow Truck Company - 124,Billing Dispute - B02,12/28/2016,02/07/2017,Referred to Outside - RTO,,WOODSIDE,NY,,
182,Electronic Store - 001,Defective Goods - D02,08/28/2018,09/14/2018,Advised to Sue - ATS,No,STATEN ISLAND,NY,,
183,Home Improvement Contractor - 100,Quality of Work - Q01,04/05/2018,04/27/2018,No Consumer Response - NCR,,NEW YORK,NY,,
184,Appliances - 244,Exchange Goods/Contract Cancelled - E01,05/08/2018,05/22/2018,Complaint Invalid - CIN,,NEW YORK,NY,,
186,Employment Agency - 034,Exchange Goods/Contract Cancelled - E01,02/03/2017,03/23/2017,Complaint Invalid - CIN,,NEW YORK,NY,,
187,Misc Non-Food Retail - 817,Quality of Work - Q01,01/09/2017,02/17/2017,Unable to Locate Business - ULV,,BAYSIDE,NY,,
188,Locksmith - 062,Quality of Work - Q01,04/26/2017,05/31/2017,Advised to Sue - ATS,No,BROOKLYN,NY,,
189,Garage - 049,Surcharge/Overcharge - S02,04/03/2018,04/12/2018,Cash Amount - AMT,Yes,NEW YORK,NY,,
190,Tow Truck Company - 124,Surcharge/Overcharge - S02,05/04/2018,05/14/2018,Referred to Outside - RTO,,NEW HYDE PARK,NY,,
191,Electronic Store - 001,Advertising/Misleading - A02,04/20/2018,05/15/2018,No Business Response - NVR,No,NEW YORK,NY,,
192,Home Improvement Contractor - 100,Non-Delivery of Service - N02,10/03/2017,11/14/2017,Resolved and Consumer Satisfied - SPF,Yes,NEW ROCHELLE,NY,,
193,Debt Collection Agency - 122,Billing Dispute - B02,11/03/2017,11/20/2017,Bill Reduced - BLR,Yes,JACKSONVILLE,FL,,
194,Mailorder Misc - 319,Non-Delivery of Goods - N01,06/25/2018,06/29/2018,Resolved and Consumer Satisfied - SPF,Yes,BRONX,NY,,
195,Auction House - 128,Non-Delivery of Service - N02,09/11/2017,10/13/2017,No Business Response - NVR,No,NEW YORK,NY,,
196,Home Improvement Contractor - 100,Non-Delivery of Service - N02,12/13/2016,01/20/2017,Referred to Hearing - RTH,No,EAST ELMHURST,NY,,
197,Appliances - 244,Damaged Goods - D01,11/09/2017,12/05/2017,Referred to Outside - RTO,,LISLE,IL,,
198,Wearing Apparel - 450,Exchange Goods/Contract Cancelled - E01,09/14/2018,09/21/2018,Credit Card Refund and/or Contract Cancelled - CRC,Yes,STATEN ISLAND,NY,,
199,Electronic & Home Appliance Service Dealer - 115,Misrepresentation - M01,07/24/2018,08/10/2018,Cash Amount - AMT,Yes,FREEPORT,NY,,
200,Debt Collection Agency - 122,Billing Dispute - B02,04/21/2017,05/15/2017,Resolved and Consumer Satisfied - SPF,Yes,ROSWELL,GA,,
201,Health Spa - 839,Misrepresentation - M01,04/20/2018,05/22/2018,Advised to Sue - ATS,No,COLTS NECK,NJ,,
202,Home Improvement Contractor - 100,Breach of Warranty - B04,03/03/2017,04/18/2017,Complaint Invalid - CIN,,FLORAL PARK,NY,,
203,Debt Collection Agency - 122,Misrepresentation - M01,04/26/2017,05/17/2017,Bill Reduced - BLR,Yes,CARROLLTON,TX,,
204,Auto Rental - 213,Misrepresentation - M01,09/12/2017,09/25/2017,Referred to Outside - RTO,,ST PETERSBURG,FL,,
205,Grocery-Retail - 808,Exchange Goods/Contract Cancelled - E01,04/24/2018,05/02/2018,Resolved and Consumer Satisfied - SPF,Yes,BROOKLYN,NY,,
206,Electronic Store - 001,Defective Goods - D02,03/08/2017,03/28/2017,No Satisfactory Agreement - NSA,No,LISLE,IL,,
207,Home Improvement Contractor - 100,Breach of Contract - B03,04/20/2018,05/09/2018,Goods Repaired - GRS,Yes,S OZONE PARK,NY,,
208,Misc Non-Food Retail - 817,Misrepresentation - M01,11/04/2016,01/04/2017,Advised to Sue - ATS,No,BROOKLYN,NY,,
209,Employment Agency - 034,Misrepresentation - M01,07/13/2017,08/02/2017,Advised to Sue - ATS,No,NEW YORK,NY,,
210,Restaurant - 818,Surcharge/Overcharge - S02,09/14/2017,09/20/2017,Cash Amount - AMT,Yes,BRONX,NY,,
