Business Name,Industry,Complaint Type,Mediation Start Date,Mediation Close Date,Complaint Result,Satisfaction,Restitution,Business Building,Business Street,Building Address Unit,Business City,Business State,Business Zip,Complainant Zip ,Longitude,Latitude
MP 17 LLC,Garage & Parking Lot - 098,Outstanding Judgment - J01,02/02/2018,02/08/2018,Agency Collected Judgement - ACJ,Yes,330.00,545,5TH AVE,STE 600,NEW YORK,NY,10017,10591,,
CLEOPATRA HAIR,Misc Non-Food Retail - 817,Non-Delivery of Goods - N01,01/20/2017,02/07/2017,Unable to Locate Business - ULV,NA,0.00,47C,W 29TH ST,,NEW YORK,NY,10001,10032,-73.989075691007,40.74625050631056
P.A.C. GARAGE CORP.,Garage - 049,Exchange Goods/Contract Cancelled - E01,07/26/2018,08/07/2018,Cash Amount - AMT,Yes,530.00,120,E 87TH ST,,NEW YORK,NY,10128,10128,-73.95590114746432,40.780505204627325
REGAL PARKING CORP.,Garage - 049,Damaged Goods - D01,07/19/2017,08/23/2017,Advised to Sue - ATS,No,0.00,9810,64TH AVE,,REGO PARK,NY,11374,,-73.85801042624362,40.73042781783843
KWICK TOWING & RECOVERY INC,Tow Truck Company - 124,Billing Dispute - B02,07/14/2017,08/03/2017,Cash Amount - AMT,Yes,114.00,26903,81ST AVE,,NEW HYDE PARK,NY,11040,11372,-73.9190997688359,40.72995720339423
AA'S TOWING & COLLISION INC.,Tow Truck Company - 124,Misrepresentation - M01,08/23/2017,10/23/2017,Cash Amount - AMT,Yes,1000.00,79,14TH ST,,BROOKLYN,NY,11215,11236,-73.99506865169111,40.669202665947815
RAMAZAN LUBANOVIC,Home Improvement Contractor - 100,Quality of Work - Q01,03/23/2018,04/27/2018,Advised to Sue - ATS,No,0.00,8440,153RD AVE,,HOWARD BEACH,NY,11414,11414,,
,Home Improvement Contractor - 100,Non-Delivery of Goods - N01,11/03/2017,12/04/2017,No Satisfactory Agreement - NSA,No,0.00,,,,,,,11377,,
AMANDA  BOHORQUEZ PHOTOGRAPHY,Misc Non-Food Retail - 817,Non-Delivery of Goods - N01,11/03/2017,11/13/2017,Goods Received - GDR,Yes,2000.00,314,43RD ST,,BROOKLYN,NY,11232,11211,,
185TH OPERATING LLC,Garage & Parking Lot - 098,Surcharge/Overcharge - S02,03/30/2017,04/11/2017,Resolved and Consumer Satisfied - SPF,Yes,0.00,280,PARK AVE S,2L,NEW YORK,NY,10010,10033,,
LA MORTE CONSTRUCTION,Home Improvement Contractor - 100,Quality of Work - Q01,10/12/2017,11/08/2017,No Consumer Response - NCR,NA,0.00,929,LACEY RD,,FORKED RIVER,NJ,08731,10312,,
"TIKVATRONICS, LTD.",Electronic Store - 001,,01/09/2017,02/01/2017,No Satisfactory Preempted - NSP,NA,0.00,16404,JAMAICA AVE,,JAMAICA,NY,11432,,-73.79554132360546,40.705197263670215
SP PLUS CORPORATION,Garage & Parking Lot - 098,Non-Delivery of Goods - N01,06/25/2018,07/19/2018,Cash Amount - AMT,Yes,421.00,360,W 31ST ST,,NEW YORK,NY,10001,12159,,
FASHION DRY CLEANER,Dry Cleaners - 230,Closed without Notice,06/05/2018,06/20/2018,Goods Received - GDR,Yes,39.00,657,BLAKE AVE,,BROOKLYN,NY,11207,11207,,
NET DEBT,Debt Settlement - 248,Misrepresentation - M01,03/23/2018,04/05/2018,Resolved and Consumer Satisfied - SPF,Yes,0.00,6400,PINECREST DR,400,PLANO,TX,75024,10460,,
MEDIA ALLIANCE,Misc Non-Food Retail - 817,Misrepresentation - M01,01/19/2018,02/09/2018,No Business Response - NVR,No,0.00,1702,AVENUE Z,,BROOKLYN,NY,11235,11375,,
FIVE J'S AUTOMOTIVE LTD.,Tow Truck Company - 124,Misrepresentation - M01,03/20/2017,04/06/2017,Cash Amount - AMT,Yes,245.00,809,ZEREGA AVE,,BRONX,NY,10473,10475,-73.84297064104702,40.82433880628763
K & C CONSTRUCTION INC.,Home Improvement Contractor - 100,Misrepresentation - M01,05/04/2018,06/07/2018,Advised to Sue - ATS,No,0.00,35,ALLEN ST,2,NEW YORK,NY,10002,10036,,
THE BUZZ OF BORO PARK LLC,Appliances - 244,Damaged Goods - D01,07/06/2017,08/03/2017,Referred to Outside - RTO,NA,0.00,1314,50TH ST,,BROOKLYN,NY,11219,11206,-73.99215650361207,40.63412967547821
"IMPARK WEST 56, LLC.",Garage - 049,Surcharge/Overcharge - S02,10/13/2017,11/02/2017,Cash Amount - AMT,Yes,15.00,307,7TH AVE,301,NEW YORK,NY,10001,05353,-73.97567319925814,40.7628129973505
SP PLUS CORPORATION,Garage - 049,,07/27/2018,08/01/2018,Resolved and Consumer Satisfied - SPF,Yes,0.00,360,W 31ST ST,,NEW YORK,NY,10001,,-73.95294535197267,40.77332929263841
THE CANOPY CREATIVE LLC,Home Improvement Contractor - 100,Quality of Work - Q01,01/06/2017,03/02/2017,Advised to Sue - ATS,No,0.00,526,44TH ST,STE 3,BROOKLYN,NY,11220,10014,-74.00609015460218,40.648010162657634
"CREDENCE RESOURCE MANAGEMENT, LLC",Debt Collection Agency - 122,Misrepresentation - M01,02/09/2018,02/23/2018,Resolved and Consumer Satisfied - SPF,Yes,0.00,12645,SEATON CIR,,FRISCO,TX,75033,10468,,
AMERICAN EXCHANGE SERVICE CENTER,Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,12/29/2016,01/26/2017,Goods Received - GDR,Yes,0.00,1407,BROADWAY,2100,NEW YORK,NY,10018,63113,-73.98715073117594,40.75343880205395
"Samsung Electronics America, Inc.",Electronic Store - 001,Defective Goods - D02,04/20/2017,05/01/2017,Resolved and Consumer Satisfied - SPF,Yes,0.00,85,CHALLENGER RD,,RIDGEFIELD PARK,NJ,07660,11435,,
TJ'S AUTOMOTIVE CORP,Tow Truck Company - 124,Surcharge/Overcharge - S02,03/28/2017,04/20/2017,Referred to Hearing - RTH,No,0.00,,,,,,,11211,,
QUALITY TILE CORP.,Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,03/16/2017,04/28/2017,Credit Card Refund and/or Contract Cancelled - CRC,Yes,306.00,2541,BOSTON RD,,BRONX,NY,10467,10510,-73.86413115692936,40.86423533870564
"AAA AMERICAN HOMES, INC",Home Improvement Contractor - 100,Quality of Work - Q01,04/06/2017,05/12/2017,Consumer Took Action - CTA,No,0.00,2334,E 64TH ST,,BROOKLYN,NY,11234,11228,,
"KASIMIS, SPIROS",Employment Agency - 034,Exchange Goods/Contract Cancelled - E01,03/17/2017,03/29/2017,Cash Amount - AMT,Yes,150.00,9718,ROOSEVELT AVE,,CORONA,NY,11368,11373,-73.86819488301921,40.74928541165155
"COVE CLUB CAR PARK, LLC",Garage - 049,Damage / Estimate,01/12/2018,01/26/2018,Cash Amount - AMT,Yes,766.00,1651,3RD AVE,STE 207,NEW YORK,NY,10128,20827,,
NB NET SOLUTIONS 16 INC,Electronic Store - 001,Breach of Contract - B03,03/22/2017,04/14/2017,Cash Amount - AMT,Yes,900.00,612,CASTLE HILL AVE,,BRONX,NY,10473,10473,-73.8480767879129,40.81928438032153
RETRO FITNESS LLC,Health Spa - 839,Billing Dispute - B02,04/20/2018,05/22/2018,Referred to Outside - RTO,NA,0.00,43,COUNTY ROAD 537 W,,COLTS NECK,NJ,07722,11217,,
"MRUCZYNSKI, DARIUSZ",Home Improvement Contractor - 100,Damaged Goods - D01,11/09/2017,11/15/2017,Referred to Outside - RTO,NA,0.00,P.O,EDGEGROVE AVE,120115,STATEN ISLAND,NY,10312,10306,-74.1816034292136,40.542598212555966
MODELL'S SPORTING GOODS INC.,Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,03/17/2017,04/03/2017,No Satisfactory Preempted - NSP,NA,0.00,498,7TH AVE,,NEW YORK,NY,10018,10473,-73.85908800106554,40.82486191142211
HOLLIS HAPPY CLEANERS INC.,Dry Cleaners - 230,Damaged Goods - D01,03/13/2018,03/22/2018,No Satisfactory Agreement - NSA,No,0.00,20701,HOLLIS AVE,,QUEENS VILLAGE,NY,11429,11429,-73.7498782927298,40.707555436256605
ALL BOROS CONTRACTING INC,Home Improvement Contractor - 100,Misrepresentation - M01,08/10/2017,09/07/2017,Referred to Hearing - RTH,No,0.00,900,LYDIG AVE,STE 5K,BRONX,NY,10462,10475,,
LIBERTY TAX SERVICE,Tax Preparers - 891,Misrepresentation - M01,03/15/2018,04/19/2018,Resolved and Consumer Satisfied - SPF,Yes,0.00,17,E 170TH ST,,BRONX,NY,10452,10453,-73.9170830271917,40.84000588665219
"PLAZA MOTORS OF BROOKLYN, INC.",Secondhand Dealer Auto - 005,Misrepresentation - M01,05/25/2018,06/08/2018,Cash Amount - AMT,Yes,4899.00,2740,NOSTRAND AVE,,BROOKLYN,NY,11210,11229,,
VINCENT ESAU MITCHELL,Tow Truck Company - 124,Billing Dispute - B02,12/27/2016,01/11/2017,Cash Amount - AMT,Yes,109.00,285,MAPLE PKWY,,STATEN ISLAND,NY,10303,10304,,
WIRELESS XTREME NYC INC.,Electronic Store - 001,Damaged Goods - D01,12/19/2017,12/22/2017,Goods Repaired - GRS,Yes,120.00,2918,3RD AVE,,BRONX,NY,10455,10455,-73.91620486043203,40.817015515599955
"ON/OFF DIGITAL WORLD, INC.",Electronic Store - 001,Misrepresentation - M01,04/03/2017,05/01/2017,Credit Card Refund and/or Contract Cancelled - CRC,Yes,119.00,485,5TH AVE,,NEW YORK,NY,10017,22180,,
AJ MADISON,Appliances - 244,Misrepresentation - M01,11/03/2017,12/11/2017,No Satisfactory Preempted - NSP,NA,0.00,3605,13TH AVE,,BROOKLYN,NY,11218,10466,,
ACIMA CREDIT,Debt Collection Agency - 122,Surcharge/Overcharge - S02,01/25/2018,02/12/2018,Resolved and Consumer Satisfied - SPF,Yes,0.00,9815,S MONROE ST,4,SANDY,UT,84070,11412,,
LIOR FURNITURE INC,Furniture Sales - 242,Surcharge/Overcharge - S02,02/03/2017,02/22/2017,Advised to Sue - ATS,No,0.00,8012,JAMAICA AVE,,WOODHAVEN,NY,11421,11236,-73.91317132204074,40.669329201999176
NEW VEEVA CONSTRUCTION INC,Home Improvement Contractor - 100,Outstanding Judgment - J01,04/27/2018,05/11/2018,Referred to Hearing - RTH,No,0.00,8454,GRAND AVE,,ELMHURST,NY,11373,11375,-73.88242262678442,40.734643831347825
ASAP TOWING INC.,Tow Truck Company - 124,Damage / Estimate,03/27/2017,04/26/2017,Referred to Hearing - RTH,No,0.00,5609,56TH TER,,MASPETH,NY,11378,11691,,
DAR EL SALAM TRAVEL INC.,Travel Agency - 440,Wrong Goods - W01,04/20/2018,05/10/2018,Cash Amount - AMT,Yes,439.00,280,MADISON AVE,500,NEW YORK,NY,10016,61874,,
K & S SYNERGY CORP.,Electronic Store - 001,Advertising/Misleading - A02,07/25/2017,08/09/2017,Goods Received - GDR,Yes,0.00,937C,PENNSYLVANIA AVE,,BROOKLYN,NY,11207,11207,-73.88808402244312,40.65519935647488
VANTAGE ACCEPTANCE,Debt Settlement - 248,Non-Delivery of Service - N02,11/16/2017,12/19/2017,Resolved and Consumer Satisfied - SPF,Yes,0.00,5950,CANOGA AVE,300,WOODLAND HILLS,CA,91367,10307,,
SPRINT SPECTRUM L.P.,Electronic Store - 001,Misrepresentation - M01,05/15/2018,06/01/2018,No Satisfactory Agreement - NSA,No,0.00,,P O BOX 8000,,MONSEY,NY,10952,10039,,
"PASCAL, ERIC",Home Improvement Contractor - 100,Quality of Work - Q01,08/04/2017,08/23/2017,Consumer Took Action - CTA,No,0.00,539,E 89TH ST,,BROOKLYN,NY,11236,11234,-73.91121909589728,40.643773789454656
"BEST BUY STORES, L.P.",Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,06/28/2017,08/18/2017,Cash Amount - AMT,Yes,474.00,7601,PENN AVE S,,RICHFIELD,MN,55423,11224,-74.00062653927884,40.595362481159526
"PORTFOLIO RECOVERY ASSOCIATES, L.L.C.",Debt Collection Agency - 122,Harassment - H01,04/19/2018,05/03/2018,Resolved and Consumer Satisfied - SPF,Yes,0.00,130,CORPORATE BLVD,,NORFOLK,VA,23502,10466,,
"EXPEDIA, INC.",Travel Agency - 440,Misrepresentation - M01,05/18/2018,05/30/2018,Credit Card Refund and/or Contract Cancelled - CRC,Yes,972.00,333,108TH AVE NE,,BELLEVUE,WA,98004,11238,,
VICTRA NYC 9TH AVE,Electronic Store - 001,,07/20/2018,08/06/2018,Resolved and Consumer Satisfied - SPF,Yes,0.00,44,9TH AVE,,NEW YORK,NY,10011,,-74.00520371584587,40.741151161054724
J.C.I.L. CONSTRUCTION INC,Home Improvement Contractor - 100,Quality of Work - Q01,08/17/2018,09/06/2018,Advised to Sue - ATS,No,0.00,628,VERMONT ST,,BROOKLYN,NY,11207,11411,,
SYNMETA LLC,Other,Exchange Goods/Contract Cancelled - E01,06/07/2017,06/21/2017,Referred to Outside - RTO,NA,0.00,469,7TH AVE,7,NEW YORK,NY,10018,,-73.98994098582848,40.75191025562788
RADIANT IPTV,Misc Non-Food Retail - 817,Billing Dispute - B02,01/05/2018,01/22/2018,Credit Card Refund and/or Contract Cancelled - CRC,Yes,240.00,15047,HILLSIDE AVE,,JAMAICA,NY,11432,11432,,
A3A WIRELESS OF NY CORP.,Electronic Store - 001,Advertising/Misleading - A02,05/16/2017,06/12/2017,Consumer Took Action - CTA,No,0.00,4807,5TH AVE,,BROOKLYN,NY,11220,11220,-74.00925749254243,40.64611330569959
AZ RENOVATION INC.,Misc Non-Food Retail - 817,Quality of Work - Q01,08/24/2018,09/21/2018,Referred to Outside - RTO,NA,0.00,3423,STEINWAY ST,STE 119,LONG ISLAND CIT,NY,11101,10025,,
2K FURNITURE DESIGN,Furniture Sales - 242,Misrepresentation - M01,07/27/2018,09/20/2018,Referred to Outside - RTO,NA,0.00,431,TIMPSON PL,,BRONX,NY,10455,11216,,
ALL ABOUT AUTOMOTIVE INC,Tow Truck Company - 124,Damaged Goods - D01,02/03/2017,02/13/2017,Consumer Took Action - CTA,No,0.00,14,LOMBARDY ST,,BROOKLYN,NY,11222,11212,-73.92158837248193,40.64492315802809
BEN & NINO AUTO REPAIR INC.,Tow Truck Company - 124,Refund Policy - R01,01/10/2017,02/23/2017,Referred to Outside - RTO,NA,0.00,,,,,,,11229,-73.96109229009257,40.597181187348376
A. POLASH CONTRACTING CORP.,Home Improvement Contractor - 100,Outstanding Judgment - J01,12/22/2017,01/19/2018,Referred to Hearing - RTH,No,0.00,1814,BROOKLYN AVE,APT 1B,BROOKLYN,NY,11210,,-73.97244318792464,40.69106159042452
BEST BUY,Electronic Store - 001,Advertising/Misleading - A02,07/12/2018,08/08/2018,Advised to Sue - ATS,No,0.00,,,,,,,11372,-73.89657275838086,40.7404131595033
"MCCARTHY, BURGESS & WOLFF, INC.",Debt Collection Agency - 122,Billing Dispute - B02,03/16/2018,04/04/2018,Resolved and Consumer Satisfied - SPF,Yes,0.00,26000,CANNON RD,,CLEVELAND,OH,44146,10457,,
LIL PETES AUTOMOTIVE INC,Tow Truck Company - 124,Billing Dispute - B02,04/07/2017,04/07/2017,Goods Received - GDR,Yes,0.00,635,S COLUMBUS AVE,,MOUNT VERNON,NY,10550,10701,-73.8444987308537,40.84456394272548
"PROSPECT HEIGHTS AUTOMOTIVE, INC.",Misc Non-Food Retail - 817,Surcharge/Overcharge - S02,08/10/2018,08/30/2018,Referred to Outside - RTO,NA,0.00,1812,ATLANTIC AVE,,BROOKLYN,NY,11233,10452,-73.92950337226071,40.67735786081655
MATTRESS FIRM,Furniture Sales - 242,Damaged Goods - D01,08/17/2017,09/22/2017,Credit Card Refund and/or Contract Cancelled - CRC,Yes,789.00,10201,MAIN ST,,HOUSTON,TX,77025,11222,,
"CHARLES, KEION",Home Improvement Contractor - 100,Quality of Work - Q01,04/24/2017,06/06/2017,Referred to Hearing - RTH,No,0.00,1290,PACIFIC ST,3,BROOKLYN,NY,11216,11207,-73.88965745026722,40.680096026212816
LINDEN PAWN BROKERS INC,Pawnbroker - 080,Lost Property - L02,03/23/2018,04/17/2018,Advised to Sue - ATS,No,0.00,19405,LINDEN BLVD,,SAINT ALBANS,NY,11412,11422,,
MOBILE TRENDZ IV INC,Electronic Store - 001,Damaged Goods - D01,06/30/2017,08/22/2017,No Business Response - NVR,No,0.00,856,NOSTRAND AVE,,BROOKLYN,NY,11225,11225,-73.95062200981413,40.66868713583484
ARBUTUS HYLAN REALTY CORP,Home Improvement Contractor - 100,Quality of Work - Q01,09/08/2017,11/01/2017,No Satisfactory Agreement - NSA,No,0.00,36,DUNBAR ST,,STATEN ISLAND,NY,10308,10304,-74.14546389808764,40.558399422276935
TULSIE PERSAUD KOWAR,Home Improvement Contractor - 100,Quality of Work - Q01,08/10/2018,09/11/2018,No Consumer Response - NCR,NA,0.00,3516,LACONIA AVE,,BRONX,NY,10469,10466,-73.84121581856569,40.888949510772875
EXPRESS FURNITURE WAREHOUSE,Furniture Sales - 242,Damaged Goods - D01,12/01/2017,01/08/2018,No Business Response - NVR,No,0.00,5432,MYRTLE AVE,,RIDGEWOOD,NY,11385,11233,,
SYSTEMATIC CONTROL CORPORATION,Home Improvement Contractor - 100,Quality of Work - Q01,02/17/2017,04/18/2017,No Consumer Response - NCR,NA,0.00,20314,48TH AVE,,BAYSIDE,NY,11364,11358,,
"BOB'S DISCOUNT FURNITURE, LLC",Furniture Sales - 242,Exchange Goods/Contract Cancelled - E01,11/09/2017,11/16/2017,Credit Card Refund and/or Contract Cancelled - CRC,Yes,1088.00,428,TOLLAND TPKE,,MANCHESTER,CT,06042,10473,-73.93540919063074,40.79600602558187
CENTRAL CREDIT SERVICES LLC,Debt Collection Agency - 122,,02/08/2017,02/21/2017,Resolved and Consumer Satisfied - SPF,Yes,0.00,70,MANSELL CT,250,ROSWELL,GA,30076,,,
JZANUS LTD.,Debt Collection Agency - 122,Misrepresentation - M01,04/03/2018,04/11/2018,Bill Reduced - BLR,Yes,26.00,170,JERICHO TPKE,,FLORAL PARK,NY,11001,10471,,
CRYSTAL PRIDE CLEANER INC.,Dry Cleaners - 230,Non-Delivery of Service - N02,10/19/2017,10/31/2017,Cash Amount - AMT,Yes,25.00,1627,SHEEPSHEAD BAY RD,,BROOKLYN,NY,11235,11224,-73.95256192823278,40.58680812862098
AUDUBON PARKING OPS LLC,Garage - 049,Non-Delivery Goods/Services,12/12/2017,12/20/2017,Cash Amount - AMT,Yes,100.00,250,W 26TH ST,4,NEW YORK,NY,10001,08904,-73.93315061582638,40.84764386129576
ASAP TOWING INC.,Tow Truck Company - 124,Surcharge/Overcharge - S02,09/14/2017,10/26/2017,Cash Amount - AMT,Yes,68.00,5609,56TH TER,,MASPETH,NY,11378,11377,,
149 WIRELESS CENTER INC,Electronic Store - 001,Breach of Contract - B03,07/20/2018,08/15/2018,Unable to Locate Business - ULV,NA,0.00,1118,LONGWOOD AVE,,BRONX,NY,10474,10452,,
ANSO AUTO SALES INC.,Secondhand Dealer Auto - 005,Damaged Goods - D01,07/20/2018,07/25/2018,Advised to Sue - ATS,No,0.00,174,ESSEX ST,,BROOKLYN,NY,11208,11208,-73.88280356018106,40.6801331657583
FENDI NORTH AMERICA INC,Retail Store - 820,Misrepresentation - M01,05/24/2017,06/09/2017,Credit Card Refund and/or Contract Cancelled - CRC,Yes,1742.00,598,MADISON AVE,,NEW YORK,NY,10022,11209,,
NYC MOTOR CARS CORPORATION,Secondhand Dealer Auto - 005,Billing Dispute - B02,03/02/2018,03/09/2018,Consumer Took Action - CTA,No,0.00,3748,BOSTON RD,,BRONX,NY,10469,10952,-73.83992978004447,40.88081246876214
2 CLEANTOPIA OF NY INC.,Dry Cleaners - 230,Non-Delivery of Goods - N01,12/04/2017,12/11/2017,Unable to Locate Business - ULV,NA,0.00,13127,11TH AVE,,COLLEGE POINT,NY,11356,10036,-73.98999032358412,40.759842574036085
MI PAIS FURNITURE,Furniture Sales - 242,Non-Delivery of Goods - N01,06/14/2017,06/28/2017,Unable to Locate Business - ULV,NA,0.00,213,E 188TH ST,,BRONX,NY,10458,10456,-73.89718024348224,40.86120918165471
RUPI SINGH,Electronic Store - 001,Defective Goods - D02,03/16/2018,04/02/2018,Advised to Sue - ATS,No,0.00,,,,,,,11419,-73.83000225541359,40.68880663975075
SB MOBILE INC.,Electronic Store - 001,Breach of Contract - B03,01/05/2017,02/15/2017,Advised to Sue - ATS,No,0.00,4916,CHURCH AVE,,BROOKLYN,NY,11203,11420,-73.93112339006166,40.65169241244217
TRI-STAR COLLISION CORP,Tow Truck Company - 124,Billing Dispute - B02,11/16/2017,12/05/2017,Cash Amount - AMT,Yes,457.00,3738,MERRITT AVE,,BRONX,NY,10466,10462,-73.82926376662668,40.88708527378068
AFRICAN VOYAGES MULTIPLE SERVICE,Tax Preparers - 891,Misrepresentation - M01,07/03/2017,08/22/2017,No Consumer Response - NCR,NA,0.00,32,E MOUNT EDEN AVE,,BRONX,NY,10452,11208,-73.91403478827473,40.84404112232888
PALERMO EMPLOYMENT AGENCY CORP,Employment Agency - 034,Non-Delivery of Service - N02,03/06/2017,03/21/2017,Cash Amount - AMT,Yes,130.00,8814,ROOSEVELT AVE,,JACKSON HEIGHTS,NY,11372,11373,,
JYD TOWING LLC,Tow Truck Company - 124,Misrepresentation - M01,06/12/2018,07/02/2018,Resolved and Consumer Satisfied - SPF,Yes,0.00,18506,MERRICK BLVD,,SPRNGFLD GDNS,NY,11413,11427,-73.75704238860517,40.67961520500065
"HAGGERTY, KEVIN",Home Improvement Contractor - 100,Breach of Contract - B03,07/20/2018,08/10/2018,Advised to Sue - ATS,No,0.00,46,GREENWOOD AVE,,STATEN ISLAND,NY,10301,10306,-74.0982238558956,40.630448397667884
SLEEPY'S  LLC,Furniture Sales - 242,Damaged Goods - D01,03/29/2018,05/17/2018,No Satisfactory Agreement - NSA,No,0.00,1000,S OYSTER BAY RD,,HICKSVILLE,NY,11801,11368,,
DITECH FINANCIAL LLC,Misc Non-Food Retail - 817,Harassment - H01,05/18/2017,05/23/2017,Referred to Outside - RTO,NA,0.00,,,,,,,11412,,
ENECAR CONTRACTING CORP,Home Improvement Contractor - 100,Breach of Contract - B03,07/10/2017,08/01/2017,Advised to Sue - ATS,No,0.00,15028,17TH RD,,WHITESTONE,NY,11357,22033,,
"COLLECTO, INC.",Debt Collection Agency - 122,Billing Dispute - B02,04/10/2018,04/16/2018,Resolved and Consumer Satisfied - SPF,Yes,0.00,70,MANSELL CT,250,ROSWELL,GA,30076,10002,,
"HYLTON, MARCUS",Home Improvement Contractor - 100,Quality of Work - Q01,09/26/2017,10/25/2017,Advised to Sue - ATS,No,0.00,772,VERMONT ST,2R,BROOKLYN,NY,11207,10011,,
MP 225 LLC,Garage - 049,Damaged Goods - D01,03/16/2018,04/25/2018,Advised to Sue - ATS,No,0.00,545,5TH AVE,STE 600,NEW YORK,NY,10017,20736,-74.01648738471427,40.709269743589
